brand,max_overall_rating,avg_overall_rating,min_overall_rating,total_reviews
GIGABYTE,4.7,4.7,4.7,4
Apple,4.7,4.666666666666667,4.6,1832
SAMSUNG,4.5,4.4399999999999995,4.2,913
Colorful,4.6,4.433333333333334,4.2,54
realme,4.4,4.4,4.4,2171
MSI,4.7,4.316216216216216,4.0,2711
ASUS,5.0,4.235384615384616,3.5,8758
Primebook,4.2,4.2,4.2,1586
Lenovo,4.8,4.194366197183099,3.7,3570
HP,4.8,4.174736842105263,3.5,10435
Infinix,4.5,4.166666666666667,3.7,998
DELL,4.7,4.154166666666667,3.7,1344
Acer,4.6,4.125757575757576,3.7,4916
CHUWI,4.1,3.9749999999999996,3.7,311
ZEBRONICS,3.9,3.9,3.9,119
Thomson,3.7,3.7,3.7,2
Ultimus,4.2,3.7,3.3,310
walker,3.7,3.7,3.7,188
AXL,3.6,3.6,3.6,33
Avita,3.5,3.5,3.5,3
